,R53_S91,R46_S46,R47_S39,R56_S63,R59_S97,R48_S89,R50_S48,R43_S31,R49_S55,R58_S56,R42_S101,R52_S52,R44_S47,R41_S87,R57_S80,R45_S62,R51_S35,R60_S73,R55_S33,R54_S88
MEG_7442|Drugs|Glycopeptides|VanI-type_resistance_protein|VANI,0,0,0,0,4,0,0,0,0,0,4,0,0,2,0,0,0,0,0,6
MEG_5793|Drugs|betalactams|Class_A_betalactamases|PME,0,0,0,0,6,0,0,0,4,2,18,0,17,4,2,0,0,0,0,9
MEG_6554|Drugs|betalactams|Class_B_betalactamases|SPM,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,2
MEG_3528|Drugs|betalactams|Class_B_betalactamases|L1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
MEG_2903|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2
MEG_7065|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MEG_3753|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG,24,0,0,0,9,8,0,0,0,15,2,0,1,0,0,2,0,0,0,1
MEG_1206|Drugs|betalactams|Class_B_betalactamases|BCII,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0
MEG_7203|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETT,0,0,2,2,0,4,0,4,0,0,28,1,4,0,0,0,0,30,16,4
MEG_3514|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNE,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,0,0
MEG_5564|Drugs|betalactams|Class_C_betalactamases|PDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MEG_2827|Drugs|MLS|23S_rRNA_methyltransferases|ERME,2,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,2,0,2,2
MEG_2474|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCS,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2
MEG_2366|Drugs|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MEG_503|Metals|Copper_resistance|Copper_resistance_protein|ACTPC,0,0,4,0,14,0,0,2,6,6,47,2,5,4,14,0,10,4,8,16
MEG_7008|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET55,0,0,0,2,0,0,0,2,0,0,2,0,0,2,4,0,0,2,0,2
MEG_5908|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MEG_4055|Drugs|Cationic_antimicrobial_peptides|Defensin-resistant_mprF|MPRF,0,0,0,0,0,2,0,2,2,0,2,0,2,4,4,4,0,2,2,2
MEG_7470|Drugs|Glycopeptides|VanC-type_regulator|VANRC,0,0,2,0,0,0,0,2,2,0,10,0,0,4,3,2,2,1,8,2
MEG_846|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0
MEG_2544|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0
MEG_4767|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MEG_5071|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
MEG_3915|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXI,2,0,4,4,30,8,0,13,3,4,41,14,22,20,12,0,2,8,14,35
MEG_1491|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|CARA,4,2,5,0,14,8,2,6,2,0,31,6,19,15,18,7,2,12,5,28
MEG_2726|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRBSM,2,0,0,2,6,0,0,0,2,0,8,0,4,4,12,0,1,0,2,12
MEG_338|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
MEG_7437|Drugs|Glycopeptides|VanD-type_resistance_protein|VANHD,0,2,0,0,0,0,0,2,0,0,4,2,0,2,4,0,0,0,0,0
MEG_83|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2092|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORD,8,0,0,0,0,5,0,2,0,11,1,0,0,0,0,0,1,0,0,0
MEG_1563|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
MEG_586|Drugs|betalactams|Class_C_betalactamases|ADC,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MEG_4826|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
MEG_1064|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MEG_5278|Drugs|betalactams|Class_A_betalactamases|OXY,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5162|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0
MEG_3739|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,1,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,4,0
MEG_3925|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
MEG_3242|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation,70,2,4,5,113,4,5,15,36,8,68,13,10,52,60,4,9,28,24,74
MEG_3163|Drugs|betalactams|Class_B_betalactamases|GOB,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
MEG_6155|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RUVBM,0,0,0,0,0,0,0,9,4,0,14,2,9,4,0,1,2,2,3,6
MEG_7480|Drugs|Glycopeptides|VanE-type_regulator|VANRE,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,4,10
MEG_2606|Drugs|betalactams|Class_C_betalactamases|DHA,0,0,0,0,4,0,0,0,0,2,2,0,0,4,6,0,0,0,0,2
MEG_2435|Drugs|betalactams|Class_A_betalactamases|CTX,45,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0
MEG_2854|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MEG_278|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,2,0,0,0,0,2,2,0,8,2,2,4,0,0,0,0,0,0
MEG_5818|Drugs|betalactams|Class_A_betalactamases|PSV,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,2
MEG_7484|Drugs|Glycopeptides|VanN-type_regulator|VANRN,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4
MEG_852|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
MEG_4174|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKE,14,0,0,0,0,2,0,2,0,2,4,2,2,0,4,0,0,0,0,2
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,8,2,0,0,4,0,0,3,3,0,2,0,6,0,2,0,0,0,0,0
MEG_7111|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
MEG_2918|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0
MEG_3216|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,2,2,1,0,4,2,0,18,16,0,57,2,0,30,15,1,0,4,25,18
MEG_161|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7786|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEC,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0
MEG_364|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,4,0,1,2,0,2,0,2,0,2,4,0,0,4,2,2
MEG_7799|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEV,2,0,2,0,8,2,0,0,0,2,6,2,0,2,2,0,0,0,2,4
MEG_1012|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,0,0,0,0,2,0,0,6,2,0,4,2,2,0,2,0,0,0,0,2
MEG_3608|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,19,1,7,1,15,0,5,8,3,0,176,2,1,67,16,16,2,17,12,2
MEG_6014|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRD,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
MEG_1405|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7086|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETH,3,0,0,0,2,0,0,0,1,0,11,2,0,0,0,0,0,0,30,0
MEG_985|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
MEG_3633|Drugs|betalactams|Class_B_betalactamases|LRA,0,0,0,0,0,2,0,0,2,0,4,0,4,2,0,0,0,2,0,2
MEG_4349|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0
MEG_1035|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,4,0,0,0,2,0,0,0,0,0,6,6,2,2,2,0,0,0,0,0
MEG_1636|Drugs|betalactams|Class_A_betalactamases|CBLA,0,0,0,0,7,2,0,2,0,3,7,0,0,4,1,0,0,2,0,2
MEG_2801|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MEG_4866|Drugs|betalactams|Class_D_betalactamases|OXA,0,2,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,2,0,2
MEG_5767|Drugs|betalactams|Class_A_betalactamases|PER,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0
MEG_1048|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,2,0,0,0,0,0,0,0,2,0,4,0,0,0,4,0,0,4,0,0
MEG_2503|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MEG_207|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,2,0,0,0,0,0,0,0,2,8,0,0,0,0,2
MEG_3142|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,12,0,0,0,1,1,0,0,0,7,2,0,2,2,2,0,0,2,0,0
MEG_4340|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0
MEG_1149|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,0,0,0,0,2,0,0,0,0,0,1,0,0,2,2,0,0,4,0,4
MEG_453|Drugs|betalactams|Class_C_betalactamases|ACT,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
MEG_1010|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,0,0,0,0,4,4,0,0,0,0,4,0,0,10,6,0,0,4,2,16
MEG_2123|Drugs|betalactams|Class_B_betalactamases|CRD,6,0,0,0,8,2,0,0,0,0,10,0,2,6,2,0,2,0,0,0
MEG_6518|Drugs|betalactams|Class_B_betalactamases|SMB,2,0,0,0,4,2,0,0,0,0,4,0,0,0,0,0,0,0,0,4
MEG_5388|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0,0,0,0,6,1,0,2,2,0,8,2,2,50,19,2,2,2,10,10
MEG_3363|Drugs|betalactams|Class_B_betalactamases|IMP,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MEG_7565|Drugs|Glycopeptides|VanD-type_resistance_protein|VANXD,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
MEG_4024|Drugs|betalactams|Class_C_betalactamases|MOX,0,0,0,0,2,0,0,2,0,0,4,0,2,2,4,0,0,0,0,2
MEG_2017|Metals|Copper_resistance|Copper_resistance_regulator|COMR,18,0,2,0,4,0,0,0,0,11,1,2,0,0,4,0,0,0,0,0
MEG_4317|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MEG_3017|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSC,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2
MEG_3518|Drugs|betalactams|Class_B_betalactamases|L1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2
MEG_4829|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
MEG_2986|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,0,0,2,0,2,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0
MEG_5867|Drugs|Fluoroquinolones|Quinolone_active_efflux|QEPA,0,0,0,0,0,2,0,0,0,0,2,0,0,3,2,0,0,0,0,0
MEG_4240|Drugs|betalactams|Class_A_betalactamases|OKP,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MEG_6499|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILA,1,2,0,0,2,2,0,2,2,0,0,0,2,2,4,0,0,0,0,6
MEG_4274|Drugs|betalactams|Class_A_betalactamases|OKP,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1202|Drugs|betalactams|Class_B_betalactamases|BCII,0,0,0,0,4,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0
MEG_5934|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
MEG_7380|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,2
MEG_4653|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,2,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
MEG_7639|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|VCEC,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0,2
MEG_2774|Drugs|MLS|23S_rRNA_methyltransferases|ERM30,0,0,0,2,2,0,0,2,0,0,8,0,0,2,0,0,0,0,0,2
MEG_4206|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORA,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0
