"","R73_S90","R79_S103","R80_S104","R64_S36","R78_S102","R77_S58","R68_S45","R67_S28","R65_S60","R66_S85","R62_S66","R74_S86","R61_S96","R72_S74","R75_S32","R69_S83","R63_S54","R70_S29","R71_S67","R76_S79"
"MEG_7819|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|YDEO",8,0,0,0,63,2,0,0,1,2,0,6,0,4,0,4,0,0,0,2
"MEG_6957|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERC",0,0,0,0,50,0,0,4,0,6,0,2,2,2,0,0,0,0,2,2
"MEG_2677|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"MEG_5517|Drugs|betalactams|Class_C_betalactamases|PDC",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"MEG_4757|Drugs|betalactams|Class_D_betalactamases|OXA",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,4
"MEG_2533|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"MEG_2728|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD",0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,4,0,0,0
"MEG_5711|Drugs|betalactams|Class_C_betalactamases|PDC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"MEG_808|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"MEG_3065|Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation",207,0,0,17,127,65,33,71,19,147,37,50,99,196,29,158,55,61,46,328
"MEG_4153|Drugs|betalactams|Class_B_betalactamases|NDM",0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"MEG_1183|Drugs|betalactams|Class_A_betalactamases|AST",2,0,0,0,2,0,0,0,0,2,0,2,2,12,0,0,0,2,0,26
"MEG_3287|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPA",4,0,0,0,54,0,0,0,2,0,0,0,0,2,2,2,0,0,0,1
"MEG_1102|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|APMA",0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,4
"MEG_503|Metals|Copper_resistance|Copper_resistance_protein|ACTPC",32,0,0,2,14,2,0,0,0,8,0,14,8,28,8,18,0,4,6,37
"MEG_5542|Drugs|betalactams|Class_C_betalactamases|PDC",0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"MEG_1485|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CADC",4,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,4,0,0,4
"MEG_2939|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation",0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"MEG_2457|Metals|Copper_resistance|Copper_resistance_protein|CUTE",27,0,0,0,157,2,0,0,3,2,0,6,3,8,2,2,0,6,0,18
"MEG_3342|Drugs|betalactams|Class_B_betalactamases|IMP",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"MEG_7114|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",2,0,0,0,0,0,2,0,2,0,0,0,2,2,0,2,0,0,0,4
"MEG_6964|Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation",1284,0,6,62,230,225,209,883,279,1170,185,677,191,1263,175,1753,505,117,317,1928
"MEG_1647|Drugs|betalactams|Class_A_betalactamases|CEPA",8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_1462|Drugs|Glycopeptides|Bleomycin_resistance_protein|BLM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"MEG_7071|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETE",0,0,0,0,0,0,2,0,0,2,0,2,2,2,0,0,0,0,0,2
"MEG_1452|Drugs|betalactams|Class_A_betalactamases|BLAZ",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"MEG_3353|Drugs|betalactams|Class_B_betalactamases|IMP",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"MEG_2391|Drugs|betalactams|Class_A_betalactamases|CTX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"MEG_6539|Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|SMVA",6,0,0,0,123,2,0,0,0,0,0,4,2,2,0,0,2,0,0,12
"MEG_4097|Drugs|Glycopeptides|Vancomycin-resistant_mutation|MURG|RequiresSNPConfirmation",6,0,0,0,0,0,0,54,4,12,0,20,4,26,2,18,10,0,4,10
"MEG_6577|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE",2,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
"MEG_1917|Drugs|betalactams|Class_C_betalactamases|CMY",0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
"MEG_4037|Drugs|MLS|Macrolide_phosphotransferases|MPHC",0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,0,0,0,4
"MEG_7137|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM",2,0,0,0,0,2,3,0,0,2,0,0,2,0,0,0,0,0,0,8
"MEG_6615|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI",0,0,0,2,0,9,0,0,0,0,0,12,0,1,0,0,0,4,2,70
"MEG_3862|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD",0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"MEG_2120|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR",4,0,0,0,20,0,0,0,0,0,0,0,0,2,0,8,0,1,0,7
"MEG_4299|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRM",12,0,0,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4
"MEG_6639|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULIII",4,0,0,0,0,0,0,0,0,2,0,0,2,6,0,2,0,0,0,8
"MEG_7576|Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_7194|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation",0,0,0,5,0,17,0,0,0,2,0,8,3,1,0,4,0,22,0,62
"MEG_3175|Drugs|Lipopeptides|Daptomycin-resistant_mutant|GSHF|RequiresSNPConfirmation",2,0,0,0,103,0,2,2,2,0,0,2,0,4,0,4,4,2,0,29
"MEG_2093|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORD",4,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEG_5932|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"MEG_5145|Drugs|betalactams|Class_D_betalactamases|OXA",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"MEG_5951|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"MEG_3898|Metals|Mercury_resistance|Mercury_resistance_protein|MERT",0,0,0,3,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0
"MEG_2710|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBB|RequiresSNPConfirmation",2,0,0,0,0,5,0,4,0,2,2,0,0,1,1,2,0,1,0,16
"MEG_3402|Drugs|betalactams|Class_B_betalactamases|IND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"MEG_1846|Drugs|betalactams|Class_C_betalactamases|CMY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"MEG_7451|Drugs|Glycopeptides|VanA-type_regulator|VANRA",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2
"MEG_6940|Drugs|betalactams|Class_A_betalactamases|TEM",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"MEG_5846|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACG",4,0,0,0,1179,0,0,0,0,0,2,0,2,5,0,0,0,2,0,1
"MEG_145|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME",4,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,2,0,0,4
"MEG_2895|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD",2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6
"MEG_7073|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETE",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
