"R17"	"R8"	"R2"	"R6"	"R3"	"R12"	"R15"	"R4"	"R13"	"R20"	"R1"	"R14"	"R19"	"R11"	"R5"	"R10"	"R18"	"R16"	"R9"	"R7"	"R53"	"R46"	"R47"	"R56"	"R59"	"R48"	"R50"	"R43"	"R49"	"R58"	"R42"	"R52"	"R44"	"R41"	"R57"	"R45"	"R51"	"R60"	"R55"	"R54"	"R22"	"R35"	"R34"	"R26"	"R31"	"R28"	"R27"	"R24"	"R21"	"R40"	"R36"	"R38"	"R33"	"R37"	"R29"	"R25"	"R32"	"R30"	"R23"	"R39"	"R73"	"R79"	"R80"	"R64"	"R78"	"R77"	"R68"	"R67"	"R65"	"R66"	"R62"	"R74"	"R61"	"R72"	"R75"	"R69"	"R63"	"R70"	"R71"	"R76"
"A16S|RequiresSNPConfirmation"	4082	2402	2105	8784	1697	297	9259	1509	12541	23137	3782	2295	1448	8999	9903	3791	7752	16883	2451	1525	8246	1100	1665	1368	11981	2760	800	4168	3256	2997	14839	3263	3598	10131	15146	1814	1499	4119	4450	12571	3273	2478	7812	1453	1011	2171	4532	2296	16704	1516	7119	2266	5065	11498	171	734	2824	396	2756	2828	17985	2	31	1081	3273	4308	1685	5509	2063	8732	1500	8592	6593	11299	1998	12496	4069	3275	3337	28347
"AAC2-PRIME"	2	2	0	2	0	0	6	2	8	10	6	15	0	4	2	2	4	8	0	2	0	0	2	0	4	6	0	0	2	0	18	2	2	8	6	0	0	2	6	12	6	2	0	0	0	2	2	0	10	8	2	0	2	8	4	0	4	2	0	0	10	0	0	2	0	2	2	2	2	6	0	4	2	10	0	24	2	2	0	12
"AAC3"	14	4	17	20	8	2	22	14	19	102	8	71	2	30	35	9	34	34	16	8	43	6	4	2	47	5	6	19	12	8	88	6	38	42	36	6	4	14	8	70	4	6	26	10	0	4	11	14	33	4	18	12	24	81	2	2	10	2	11	6	70	0	0	2	9	14	4	22	2	20	4	23	26	46	8	58	8	4	20	56
"AAC3-PRIME"	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AAC6-PRIME"	54	24	35	96	10	8	79	39	114	378	40	101	16	101	97	34	65	133	24	26	59	6	24	12	111	30	13	56	47	12	153	26	72	102	159	21	6	52	39	151	38	12	112	10	18	29	19	28	119	14	82	28	46	121	2	10	25	2	52	18	183	0	0	0	59	50	10	67	6	92	20	60	99	138	8	150	46	14	40	264
"ABAF"	0	0	2	2	0	0	2	0	0	6	0	0	0	18	2	0	2	4	0	0	0	0	0	2	4	2	0	0	0	0	6	0	0	2	2	0	0	0	2	2	0	0	2	0	0	0	0	0	2	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	8	2	0	0	2	2	0	8
"ABAQ"	4	4	0	2	0	0	0	2	2	8	4	0	0	2	6	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	4	3	2	0	0	0	2	0	0	0	2	0	0	0	0	4	15	0	0	0	3	0	0	0	2	0	0	0	2	0	0	0	2	1	0	0	2	2	2	0	0	4	0	0	0	6	0	9
"ABCA"	2	0	0	8	0	0	4	2	4	14	2	2	2	6	2	6	4	14	2	0	4	0	4	4	4	6	0	0	6	2	2	4	2	6	2	2	0	2	0	4	4	0	2	0	2	0	2	0	12	0	2	6	2	6	0	0	0	0	0	0	4	0	0	0	0	4	2	4	0	2	0	2	8	4	4	8	0	0	2	32
"ABEM"	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	2	0	0	0	0	0	0	0	0	8	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	0	0	0	0	6
"ABES"	0	0	0	0	0	0	4	0	0	2	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	4
