"MEG_ID"	"Broadclass"	"Class"	"Mechanism"	"Gene"
"1"	"MEG_3202"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"GYRA|RequiresSNPConfirmation"
"2"	"MEG_2802"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERMB"
"3"	"MEG_3676"	"Drugs"	"Lipopeptides"	"Colistin_phosphoethanolamine_transferase"	"MCR"
"4"	"MEG_2804"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERMB"
"5"	"MEG_4325"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"OQXA"
"6"	"MEG_261"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"7"	"MEG_7858"	"Metals"	"Zinc_resistance"	"Zinc_resistance_protein"	"ZNUB"
"8"	"MEG_2893"	"Metals"	"Multi-metal_resistance"	"Multi-metal_ABC_efflux_pumps"	"FECD"
"9"	"MEG_1158"	"Metals"	"Arsenic_resistance"	"Arsenic_resistance_protein"	"ARSC"
"10"	"MEG_4249"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"OKP"
"11"	"MEG_1212"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_MFS_efflux_pumps"	"BCR1"
"12"	"MEG_75"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"13"	"MEG_7243"	"Drugs"	"Tetracyclines"	"Tetracycline_inactivation_enzymes"	"TETX"
"14"	"MEG_2731"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_SMR_efflux_regulator"	"EMRE"
"15"	"MEG_7316"	"Drugs"	"Elfamycins"	"EF-Tu_inhibition"	"TUFAB|RequiresSNPConfirmation"
"16"	"MEG_919"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"17"	"MEG_2495"	"Drugs"	"Trimethoprim"	"Dihydrofolate_reductase"	"DFRA"
"18"	"MEG_4225"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"OCH"
"19"	"MEG_1430"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"BLAZ"
"20"	"MEG_264"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"21"	"MEG_1584"	"Drugs"	"Phenicol"	"Chloramphenicol_acetyltransferases"	"CATA"
"22"	"MEG_5342"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"PARC|RequiresSNPConfirmation"
"23"	"MEG_5374"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	"PARE|RequiresSNPConfirmation"
"24"	"MEG_688"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"ADEI"
"25"	"MEG_3600"	"Drugs"	"MLS"	"Lincosamide_nucleotidyltransferases"	"LNUA"
"26"	"MEG_3554"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"LEN"
"27"	"MEG_2252"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CTX"
"28"	"MEG_7625"	"Drugs"	"MLS"	"Streptogramin_A_O-acetyltransferase"	"VATD"
"29"	"MEG_7507"	"Drugs"	"Glycopeptides"	"VanD-type_regulator"	"VANSD"
"30"	"MEG_7533"	"Drugs"	"Glycopeptides"	"VanL-type_resistance_protein"	"VANTML"
"31"	"MEG_2698"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_SMR_efflux_pump"	"EBRB"
"32"	"MEG_1986"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"CMY"
"33"	"MEG_3057"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"FRI"
"34"	"MEG_956"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"35"	"MEG_3972"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"MIR"
"36"	"MEG_274"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"
"37"	"MEG_7158"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETO"
"38"	"MEG_840"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT3-DPRIME"
"39"	"MEG_3053"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"FRI"
"40"	"MEG_691"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"ADEI"
"41"	"MEG_5"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"A16S|RequiresSNPConfirmation"
"42"	"MEG_7116"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETM"
"43"	"MEG_2011"	"Metals"	"Multi-metal_resistance"	"Multi-metal_resistance_regulator"	"CNRH"
"44"	"MEG_1582"	"Drugs"	"Phenicol"	"Chloramphenicol_acetyltransferases"	"CATA"
"45"	"MEG_3189"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"GYRA|RequiresSNPConfirmation"
"46"	"MEG_6007"	"Drugs"	"Fluoroquinolones"	"Quinolone_resistance_protein_Qnr"	"QNRB"
"47"	"MEG_1088"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH6"
"48"	"MEG_3650"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"LUT"
